"荷印コード","荷印名","検索カナ","汎用数値１","汎用数値２","汎用数値３","汎用数値４","汎用数値５","汎用日付１","汎用日付２","汎用日付３","汎用日付４","汎用日付５","汎用摘要１","汎用摘要２","汎用摘要３","汎用摘要４","汎用摘要５"
"5162",荷5162,ﾆ516,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5163",荷5163,ﾆ516,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5164",荷5164,ﾆ516,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5165",荷5165,ﾆ516,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5170",荷5170,ﾆ517,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5171",荷5171,ﾆ517,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5172",荷5172,ﾆ517,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5173",荷5173,ﾆ517,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5174",荷5174,ﾆ517,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5175",荷5175,ﾆ517,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5176",荷5176,ﾆ517,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5177",荷5177,ﾆ517,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5178",荷5178,ﾆ517,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5190",荷5190,ﾆ519,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5200",荷5200,ﾆ520,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5201",荷5201,ﾆ520,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5202",荷5202,ﾆ520,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5203",荷5203,ﾆ520,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5204",荷5204,ﾆ520,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5205",荷5205,ﾆ520,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5206",荷5206,ﾆ520,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5207",荷5207,ﾆ520,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5208",荷5208,ﾆ520,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5209",荷5209,ﾆ520,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5210",荷5210,ﾆ521,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5211",荷5211,ﾆ521,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5212",荷5212,ﾆ521,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5213",荷5213,ﾆ521,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5214",荷5214,ﾆ521,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5230",荷5230,ﾆ523,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5231",荷5231,ﾆ523,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5232",荷5232,ﾆ523,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5233",荷5233,ﾆ523,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5234",荷5234,ﾆ523,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5250",荷5250,ﾆ525,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5251",荷5251,ﾆ525,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5252",荷5252,ﾆ525,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5253",荷5253,ﾆ525,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5254",荷5254,ﾆ525,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5255",荷5255,ﾆ525,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5256",荷5256,ﾆ525,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5257",荷5257,ﾆ525,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5280",荷5280,ﾆ528,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5281",荷5281,ﾆ528,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5282",荷5282,ﾆ528,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5283",荷5283,ﾆ528,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5284",荷5284,ﾆ528,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5285",荷5285,ﾆ528,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5286",荷5286,ﾆ528,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5287",荷5287,ﾆ528,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5288",荷5288,ﾆ528,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5300",荷5300,ﾆ530,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
