"等級コード","等級名","検索カナ","汎用数値１","汎用数値２","汎用数値３","汎用数値４","汎用数値５","汎用日付１","汎用日付２","汎用日付３","汎用日付４","汎用日付５","汎用摘要１","汎用摘要２","汎用摘要３","汎用摘要４","汎用摘要５"
"549","等549","ﾄ549",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"550","等550","ﾄ550",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"551","等551","ﾄ551",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"552","等552","ﾄ552",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"553","等553","ﾄ553",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"554","等554","ﾄ554",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"560","等560","ﾄ560",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"561","等561","ﾄ561",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"562","等562","ﾄ562",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"563","等563","ﾄ563",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"564","等564","ﾄ564",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"565","等565","ﾄ565",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"566","等566","ﾄ566",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"570","等570","ﾄ570",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"571","等571","ﾄ571",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"572","等572","ﾄ572",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"573","等573","ﾄ573",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"574","等574","ﾄ574",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"575","等575","ﾄ575",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"576","等576","ﾄ576",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"579","等579","ﾄ579",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"580","等580","ﾄ580",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"581","等581","ﾄ581",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"582","等582","ﾄ582",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"583","等583","ﾄ583",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"584","等584","ﾄ584",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"585","等585","ﾄ585",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"586","等586","ﾄ586",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"587","等587","ﾄ587",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"589","等589","ﾄ589",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"590","等590","ﾄ590",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"591","等591","ﾄ591",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"592","等592","ﾄ592",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"593","等593","ﾄ593",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"594","等594","ﾄ594",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"596","等596","ﾄ596",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"597","等597","ﾄ597",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"598","等598","ﾄ598",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"599","等599","ﾄ599",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"600","等600","ﾄ600",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"601","等601","ﾄ601",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
